Date,Description,Amount,Balance,Reference Number
2025-10-01,INCOMING TRANSFER CUSTOMER PAYMENT,25000.00,125000.00,TXN001
2025-10-02,PAYMENT CFE ELECTRIC SERVICES,-850.50,124149.50,TXN002
2025-10-03,ATM WITHDRAWAL,-2000.00,122149.50,TXN003
2025-10-05,CASH DEPOSIT,5000.00,127149.50,TXN004
2025-10-08,PAYMENT COMMERCIAL RENT,-15000.00,112149.50,TXN005
2025-10-10,INCOMING TRANSFER CLIENT INVOICE,18500.00,130649.50,TXN006
2025-10-12,PURCHASE OFFICE DEPOT SUPPLIES,-2350.75,128298.75,TXN007
2025-10-15,PAYROLL PAYMENT EMPLOYEE A,-8000.00,120298.75,TXN008
2025-10-15,PAYROLL PAYMENT EMPLOYEE B,-7500.00,112798.75,TXN009
2025-10-18,INCOMING TRANSFER PROJECT PAYMENT,32000.00,144798.75,TXN010
2025-10-20,VENDOR PAYMENT ABC SUPPLIER,-12500.00,132298.75,TXN011
2025-10-22,MONTHLY BANK FEE,-125.00,132173.75,TXN012
2025-10-25,CASH DEPOSIT,3500.00,135673.75,TXN013
2025-10-28,INTERNET SERVICE PAYMENT,-899.00,134774.75,TXN014
2025-10-30,INCOMING TRANSFER CONSULTING FEE,28000.00,162774.75,TXN015
